http://dbpedia.org/resource/Writer,15,,
http://dbpedia.org/resource/Performance_artist,15,,
http://dbpedia.org/resource/Architect,15,,
http://dbpedia.org/resource/Art_teaching,14,,
http://dbpedia.org/resource/Visual_artist,14,,
http://dbpedia.org/resource/Watercolour,14,,
http://dbpedia.org/resource/Theatre,13,,
http://dbpedia.org/resource/Industrial_organization,13,,
http://dbpedia.org/resource/Social_commentary,13,,
http://dbpedia.org/resource/Art_history,13,,
http://dbpedia.org/resource/Agricultural_economics,13,,
http://dbpedia.org/resource/Graphic_art,13,,
http://dbpedia.org/resource/New_media,13,,
http://dbpedia.org/resource/Education_economics,12,,
http://dbpedia.org/resource/Fine_art,12,,
http://dbpedia.org/resource/Multimedia,12,,
http://dbpedia.org/resource/Institutional_economics,12,,
http://dbpedia.org/resource/International_trade,12,,
http://dbpedia.org/resource/Artist's_book,12,,
http://dbpedia.org/resource/Choreography,12,,
http://dbpedia.org/resource/Filmmaker,12,,
http://dbpedia.org/resource/Tapestry,12,,
http://dbpedia.org/resource/Ballet,11,,
http://dbpedia.org/resource/Net_art,11,,
http://dbpedia.org/resource/Social_economics,11,,
http://dbpedia.org/resource/Graphic_designer,11,,
http://dbpedia.org/resource/New_Media_Art,11,,
http://dbpedia.org/resource/Pastel,11,,
http://dbpedia.org/resource/Filmmaking,11,,
http://dbpedia.org/resource/Welfare_economics,11,,
http://dbpedia.org/resource/Interactive_art,11,,
http://dbpedia.org/resource/Urban_economics,11,,
http://dbpedia.org/resource/Marine_art,10,,
http://dbpedia.org/resource/Fine_Art,10,,
http://dbpedia.org/resource/Costume_design,10,,
http://dbpedia.org/resource/History_of_economic_thought,10,,
http://dbpedia.org/resource/Fiber_art,10,,
http://dbpedia.org/resource/Political_Economy,10,,
http://dbpedia.org/resource/Teaching,10,,
http://dbpedia.org/resource/Economic_growth,10,,
http://dbpedia.org/resource/Quilting,10,,
http://dbpedia.org/resource/Pop_art,10,,
http://dbpedia.org/resource/Economic_History,9,,
http://dbpedia.org/resource/Textile_arts,9,,
http://dbpedia.org/resource/Manga,9,,
http://dbpedia.org/resource/Natural_history,9,,
http://dbpedia.org/resource/Experimental_film,9,,
http://dbpedia.org/resource/Journalism,9,,
http://dbpedia.org/resource/Portraiture,9,,
http://dbpedia.org/resource/Entrepreneurship,9,,
http://dbpedia.org/resource/Philosophy,9,,
http://dbpedia.org/resource/Sociology,9,,
http://dbpedia.org/resource/Economic_theory,9,,
http://dbpedia.org/resource/Digital_Art,9,,
http://dbpedia.org/resource/Children's_literature,9,,
http://dbpedia.org/resource/Composer,9,,
http://dbpedia.org/resource/Portrait_miniature,9,,
http://dbpedia.org/resource/Basket_weaving,9,,
http://dbpedia.org/resource/Weaving,9,,
http://dbpedia.org/resource/Scenography,8,,
http://dbpedia.org/resource/Art_education,8,,
http://dbpedia.org/resource/Video_installation,8,,
http://dbpedia.org/resource/Glass_art,8,,
http://dbpedia.org/resource/Economic_policy,8,,
http://dbpedia.org/resource/Oil_Painting,8,,
http://dbpedia.org/resource/Playwright,8,,
http://dbpedia.org/resource/Education,8,,
http://dbpedia.org/resource/Mixed_Media,8,,
http://dbpedia.org/resource/Book_illustration,8,,
http://dbpedia.org/resource/Abstract_painting,8,,
http://dbpedia.org/resource/Labor_Economics,8,,
http://dbpedia.org/resource/Comics,8,,
http://dbpedia.org/resource/Poster_art,8,,
http://dbpedia.org/resource/Industrial_Organization,8,,
http://dbpedia.org/resource/Body_art,8,,
http://dbpedia.org/resource/Experimental_economics,8,,
http://dbpedia.org/resource/Internet_art,8,,
http://dbpedia.org/resource/Financial_Economics,8,,
http://dbpedia.org/resource/Stenciling,8,,
http://dbpedia.org/resource/Teacher,7,,
http://dbpedia.org/resource/Landscape,7,,
http://dbpedia.org/resource/Internet_Art,7,,
http://dbpedia.org/resource/Actor,7,,
http://dbpedia.org/resource/Public_finance,7,,
http://dbpedia.org/resource/Activism,7,,
http://dbpedia.org/resource/Conceptual_artist,7,,
http://dbpedia.org/resource/International_Economics,7,,
http://dbpedia.org/resource/Woodcut,7,,
http://dbpedia.org/resource/Fine_art_photography,7,,
http://dbpedia.org/resource/Literature,7,,
http://dbpedia.org/resource/Fine_artist,7,,
http://dbpedia.org/resource/Choreographer,7,,
http://dbpedia.org/resource/Costume_designer,7,,
http://dbpedia.org/resource/Graphic,7,,
http://dbpedia.org/resource/Art_criticism,7,,
http://dbpedia.org/resource/Economist,7,,
http://dbpedia.org/resource/Wood_engraving,7,,
http://dbpedia.org/resource/Industrial_design,7,,
http://dbpedia.org/resource/International_Finance,7,,
http://dbpedia.org/resource/Engraver,7,,
http://dbpedia.org/resource/Wood_carving,7,,
http://dbpedia.org/resource/Development_Economics,6,,
http://dbpedia.org/resource/Modern_art,6,,
http://dbpedia.org/resource/Abstract_expressionism,6,,
http://dbpedia.org/resource/Satire,6,,
http://dbpedia.org/resource/Musician,6,,
http://dbpedia.org/resource/Acting,6,,
http://dbpedia.org/resource/Stained_Glass,6,,
http://dbpedia.org/resource/History,6,,
http://dbpedia.org/resource/Silkscreen,6,,
http://dbpedia.org/resource/Managerial_economics,6,,
http://dbpedia.org/resource/Political_philosophy,6,,
http://dbpedia.org/resource/Media_Art,6,,
http://dbpedia.org/resource/Botanical_Illustration,6,,
http://dbpedia.org/resource/Computer_programming,6,,
http://dbpedia.org/resource/Economic_development,6,,
http://dbpedia.org/resource/Statistics,6,,
http://dbpedia.org/resource/Linocut,6,,
http://dbpedia.org/resource/Urban_art,6,,
http://dbpedia.org/resource/Decorative_arts,6,,
http://dbpedia.org/resource/Documentary_film,6,,
http://dbpedia.org/resource/Jewelry,6,,
http://dbpedia.org/resource/Silversmith,6,,
http://dbpedia.org/resource/Poverty,6,,
http://dbpedia.org/resource/Figurative_art,6,,
http://dbpedia.org/resource/Contemporary_artist,6,,
http://dbpedia.org/resource/Market_design,6,,
http://dbpedia.org/resource/Art_History,6,,
http://dbpedia.org/resource/Decision_theory,6,,
http://dbpedia.org/resource/Behavioral_finance,6,,
http://dbpedia.org/resource/Dancer,6,,
http://dbpedia.org/resource/Land_art,6,,
http://dbpedia.org/resource/Ukiyo-e,5,,
http://dbpedia.org/resource/Appropriation_art,5,,
http://dbpedia.org/resource/Stage_designer,5,,
http://dbpedia.org/resource/Plastic_arts,5,,
http://dbpedia.org/resource/Commercial_art,5,,
http://dbpedia.org/resource/Puppetry,5,,
http://dbpedia.org/resource/Social_choice_theory,5,,
http://dbpedia.org/resource/Draftsman,5,,
http://dbpedia.org/resource/Electronic_literature,5,,
http://dbpedia.org/resource/Innovation_economics,5,,
http://dbpedia.org/resource/Islamic_calligraphy,5,,
