http://dbpedia.org/property/ethnicity,count,adjective
http://dbpedia.org/resource/Wichí_people,3,
http://dbpedia.org/resource/Bantenese_people,3,
http://dbpedia.org/resource/Thai_people,3,
Naga,3,
15000,3,
http://dbpedia.org/resource/Nu_people,3,
Albanians,3,
http://dbpedia.org/resource/Normans,3,
http://dbpedia.org/resource/Sebei_people,3,
European,3,
http://dbpedia.org/resource/Armenian_peoples,3,
http://dbpedia.org/resource/Native_Hawaiians,3,
http://dbpedia.org/resource/Italian_People,3,
http://dbpedia.org/resource/Fula_people,3,
http://dbpedia.org/resource/Ukrainians,3,
http://dbpedia.org/resource/Danish_people,3,
6000,3,
http://dbpedia.org/resource/Uru_people,3,
http://dbpedia.org/resource/Turkmens,3,
8000,3,
http://dbpedia.org/resource/Tamil_people,3,
http://dbpedia.org/resource/Shan_people,3,
http://dbpedia.org/resource/Yambassa_people,3,
http://dbpedia.org/resource/Kayan_people_(Burma),3,
12000,3,
http://dbpedia.org/resource/Remo_people,3,
http://dbpedia.org/resource/Lafofa_people,3,
http://dbpedia.org/resource/Shasta_people,3,
http://dbpedia.org/resource/Somalis,3,
British,3,
http://dbpedia.org/resource/Manx_people,3,
http://dbpedia.org/resource/German_people,3,
40,3,
http://dbpedia.org/resource/Colombian_people,3,
http://dbpedia.org/resource/Itelmens,3,
http://dbpedia.org/resource/South_Asian,3,
http://dbpedia.org/resource/Kumeyaay_people,3,
0.9,3,
Ukrainian,3,
http://dbpedia.org/resource/Sinhalese_people,3,
1,3,
Northern tribe of Tasmanians,3,
250,3,
1.6,3,
http://dbpedia.org/resource/Melanau_people,3,
http://dbpedia.org/resource/Franks,3,
http://dbpedia.org/resource/Ladakhis,3,
http://dbpedia.org/resource/Bicolano_people,3,
http://dbpedia.org/resource/Chaga_people,3,
http://dbpedia.org/resource/Keralite,3,
http://dbpedia.org/resource/Thai_Malays,3,
http://dbpedia.org/resource/Assyrian_people,3,
http://dbpedia.org/resource/Mandinka_people,3,
"Polish, Ruthenian",3,
http://dbpedia.org/resource/Huarpe_people,3,
Irish,3,
http://dbpedia.org/resource/Brazilians,3,
100,3,
Azerbaijani,3,
http://dbpedia.org/resource/Japanese_people,3,
1700,3,
http://dbpedia.org/resource/North_Frisians,3,
Avar,3,
http://dbpedia.org/resource/Lenca_people,3,
http://dbpedia.org/resource/Yimkhiung_Naga,3,
Mexican,3,
http://dbpedia.org/resource/East_Frisians,3,
http://dbpedia.org/resource/Iraqi_people,3,
http://dbpedia.org/resource/Volga_Tatars,3,
http://dbpedia.org/resource/Mardijker_people,3,
http://dbpedia.org/resource/Latvians,3,
"[[]], Winduwinda",3,
3.4,3,
Chicano,3,
http://dbpedia.org/resource/Uzbeks,3,
http://dbpedia.org/resource/Ukrainian_people,3,
http://dbpedia.org/resource/Qiang_people,3,
